ID,Food Name,Category,Match Type,Requires Custom Manual Match,Confidence Score,Current Verified Image URL,Attribution,Google Images Search Link,Excel HYPERLINK Formula
"mango_alphonso","Alphonso Mango","fruits","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1553279768-865429fa0078?auto=format&fit=crop&w=800&q=80","Unsplash / Golden Ripe Mango","https://www.google.com/search?q=Alphonso%20Mango%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Alphonso%20Mango%20food&tbm=isch"", ""View Image"")"
"avocado","Avocado","fruits","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1523049673857-eb18f1d7b578?auto=format&fit=crop&w=800&q=80","Unsplash / Fresh Hass Avocado Slices","https://www.google.com/search?q=Avocado%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Avocado%20food&tbm=isch"", ""View Image"")"
"turmeric","Turmeric","spices","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1615485500704-8e505ecbe124?auto=format&fit=crop&w=800&q=80","Unsplash / Pure Ground & Raw Turmeric","https://www.google.com/search?q=Turmeric%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Turmeric%20food&tbm=isch"", ""View Image"")"
"quinoa","Quinoa","grains","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1595661677316-e5ece76be7c0?auto=format&fit=crop&w=800&q=80","Unsplash / Organic Golden Quinoa Grain","https://www.google.com/search?q=Quinoa%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Quinoa%20food&tbm=isch"", ""View Image"")"
"amla","Indian Gooseberry (Amla)","fruits","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1601055283742-8b27e81b5553?auto=format&fit=crop&w=800&q=80","Wikimedia Commons / Fresh Indian Gooseberry (Amla)","https://www.google.com/search?q=Indian%20Gooseberry%20(Amla)%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Indian%20Gooseberry%20(Amla)%20food&tbm=isch"", ""View Image"")"
"kale","Kale","vegetables","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1524179091875-bf99a9a6af57?auto=format&fit=crop&w=800&q=80","Unsplash / Fresh Crisp Kale","https://www.google.com/search?q=Kale%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Kale%20food&tbm=isch"", ""View Image"")"
"salmon","Atlantic Salmon","seafood","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1519708227418-c8fd9a32b7a2?auto=format&fit=crop&w=800&q=80","Unsplash / Fresh Wild Salmon Fillet","https://www.google.com/search?q=Atlantic%20Salmon%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Atlantic%20Salmon%20food&tbm=isch"", ""View Image"")"
"jackfruit","Jackfruit","fruits","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1591068243886-d8bea9f5c491?auto=format&fit=crop&w=800&q=80","Unsplash / Fresh Jackfruit Bulbs","https://www.google.com/search?q=Jackfruit%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Jackfruit%20food&tbm=isch"", ""View Image"")"
"spinach","Spinach","vegetables","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1576045057995-568f588f82fb?auto=format&fit=crop&w=800&q=80","Unsplash / Fresh Organic Spinach","https://www.google.com/search?q=Spinach%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Spinach%20food&tbm=isch"", ""View Image"")"
"almonds","Almonds","nuts","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1567007601203-767b7dcfcf10?auto=format&fit=crop&w=800&q=80","Unsplash / Raw Whole California & Mamra Almonds","https://www.google.com/search?q=Almonds%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Almonds%20food&tbm=isch"", ""View Image"")"
